Medicine, Cost, Composition, Dosage
Cetirizine,54, Doxycycline Hyclate, 10-40mg once/day
Fluphenazine,27, Miglitol, 25-800mg once/day
Thioridazine,77, Propranolol Hydrochloride, 20-80mg once/day
Benazepril,67, Simvastatin, 5-20mg once/day
Irbesartan,56, Losartan Potassium, 5-10mg 2-3 times/day
Levothyroxine,52, Thioridazine Hydrochloride, 25-1000mg/day
Baclofen,87, Felodipine, 500mg every 4-6 hours (up to 4g/day)
Plendil,56, Telmisartan, 300-1200mg 3 times/day
Candesartan,70, Amlodipine Besylate, 10-30mg 2-3 times/day
Donepezil,48, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Lamotrigine,52, Enalapril Maleate, 5-20mg once/day
Warfarin,71, Venlafaxine Hydrochloride, 600-1800mg/day
Quetiapine,45, Haloperidol, 2.5-20mg once/day with meal
Paliperidone,41, Irbesartan, 5-10mg once/day
Chlorpromazine,62, Duloxetine Hydrochloride, 5-30mg once/day
Miglitol,70, Baclofen, 20-80mg once/day
Nifedipine,82, Paliperidone, 4-8mg once/day
Glibenclamide,45, Ranitidine Hydrochloride, 0.25-2mg 2-3 times/day
Verapamil,53, Glyburide, 40mg once/day
Pregabalin,50, Benazepril Hydrochloride, 600-1800mg/day
Lamotrigine,63, Voglibose, 20-80mg once/day
Lithium Carbonate,46, Metoprolol Tartrate, 25-100mg before each meal
Furosemide,54, Rosiglitazone Maleate, 5-10mg once/day
Glimepiride,64, Gabapentin, 10-40mg once/day
Gabapentin,14, Lercanidipine Hydrochloride, 75-300mg once/day
Telmisartan,36, Pregabalin, 10mg once/day
Doxycycline,59, Venlafaxine Hydrochloride, 500-3000mg/day
Valsartan,30, Donepezil Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Donepezil,58, Pioglitazone Hydrochloride, 12.5-150mg 3 times/day
Ziprasidone,90, Ziprasidone Hydrochloride, 5-20mg once/day
Alprazolam,32, Cetirizine Hydrochloride, 10-80mg once/day
Metformin,26, Donepezil Hydrochloride, 5-10mg once/day
Paliperidone,51, Duloxetine Hydrochloride, 10-40mg once/day
Ramipril,68, Clonazepam, 5-20mg once/day
Cetirizine,61, Alprazolam, 5-40mg once/day
Montelukast,69, Haloperidol, 0.2-0.3g before each meal
Azithromycin,83, Nateglinide, 500-2000mg/day
Lisinopril,49, Acetylsalicylic Acid, 75-300mg once/day
Enalapril,59, Thioridazine Hydrochloride, 500-3000mg/day
Pioglitazone,30, Enalapril Maleate, 2-6mg once/day
Ranitidine,54, Irbesartan, 40-320mg once/day
Paracetamol,83, Gabapentin, 10mg once/day
Amlodipine,25, Chlorpromazine Hydrochloride, 37.5-225mg once/day
Alprazolam,22, Gabapentin, 600-1800mg/day
Duloxetine,71, Nifedipine, 120mg before each meal
Gabapentin,67, Furosemide, 40-320mg 2-3 times/day
Paliperidone,84, Rosiglitazone Maleate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Glyburide,55, Atorvastatin Calcium, 600-1800mg/day
Nifedipine,68, Risperidone, 10-80mg 2-3 times/day
Propranolol,54, Venlafaxine Hydrochloride, 40mg once/day
Nateglinide,71, Verapamil Hydrochloride, 10-30mg 2-3 times/day
Hydrochlorothiazide,22, Aripiprazole, 25-100mg once/day
Glyburide,44, Furosemide, 25-1000mg/day
Amoxicillin,75, Acetaminophen, 25-500mg once/day
Lisinopril,86, Lercanidipine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Lisinopril,37, Trazodone Hydrochloride, 2.5-10mg once/day
Fluphenazine,71, Irbesartan, 40mg once/day
Rosiglitazone,48, Ranitidine Hydrochloride, 25-100mg before each meal
Metformin,64, Montelukast Sodium, 2.5-20mg once/day
Pregabalin,75, Amlodipine Besylate, 10-80mg 2-3 times/day
Voglibose,48, Cetirizine Hydrochloride, 0.2-0.3g before each meal
Telmisartan,52, Quetiapine Fumarate, 12.5-150mg 3 times/day
Paliperidone,56, Cetirizine Hydrochloride, 0.5-4mg before each meal
Quetiapine,53, Lithium Carbonate, 37.5-225mg once/day
Fluphenazine,40, Lamotrigine, 0.5-4mg before each meal
Paracetamol,70, Glibenclamide, 25-100mg once/day
Paracetamol,58, Voglibose, 150-300mg 2-3 times/day
Cetirizine,82, Alprazolam, 25-1000mg/day
Chlorpromazine,33, Enalapril Maleate, 5-10mg once/day
Miglitol,68, Pioglitazone Hydrochloride, 10-40mg once/day
Duloxetine,70, Voglibose, 1-4mg once/day
Ibuprofen,25, Lisinopril, 5-10mg 2-3 times/day
Baclofen,27, Valsartan, 20mg once/day
Rosiglitazone,92, Nifedipine, 10-40mg once/day
Verapamil,65, Clonazepam, 120mg before each meal
Glyburide,75, Benazepril Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Amlodipine,55, Felodipine, 5-10mg once/day
Venlafaxine,20, Valproic Acid, 10-80mg 2-3 times/day
Propranolol,72, Propranolol Hydrochloride, 10-30mg 2-3 times/day
Candesartan,72, Alprazolam, 4-8mg once/day
Aripiprazole,57, Repaglinide, 25-100mg once/day
Fluoxetine,55, Quetiapine Fumarate, 50-450mg 2-3 times/day
Lamotrigine,54, Thioridazine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,74, Diltiazem Hydrochloride, 500-2000mg/day
Ziprasidone,43, Metformin Hydrochloride, 500-3000mg/day
Donepezil,56, Venlafaxine Hydrochloride, 0.2-0.3g before each meal
Benazepril,39, Losartan Potassium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Risperidone,44, Miglitol, 2.5-20mg once/day
Lithium Carbonate,85, Telmisartan, 40-160mg once/day
Warfarin,40, Lamotrigine, 500mg every 4-6 hours (up to 4g/day)
Venlafaxine,36, Clonazepam, 2-6mg once/day
Alprazolam,40, Fluoxetine Hydrochloride, 500-3000mg/day
Chlorpromazine,39, Nateglinide, 20mg once/day
Ibuprofen,30, Lisinopril Dihydrate, 500mg on day 1 followed by 250mg once/day for 4 days
Pantoprazole,48, Lamotrigine, 8-32mg once/day
Doxycycline,54, Pregabalin, 2.5-20mg once/day
Lamotrigine,87, Lamotrigine, 10-30mg 2-3 times/day
Donepezil,76, Valsartan, 6-12mg once/day
Furosemide,79, Venlafaxine Hydrochloride, 5-10mg 2-3 times/day
Quetiapine,40, Warfarin Sodium, 1-100mg/day
Verapamil,71, Ziprasidone Hydrochloride, 75-150mg 2-3 times/day
Carvedilol,48, Donepezil Hydrochloride, 2.5-10mg once/day
Lithium Carbonate,69, Pantoprazole Sodium, 400-600mg every 4-6 hours (up to 3.2g/day)
Clopidogrel,71, Amoxicillin Trihydrate, 6-12mg once/day
Atorvastatin,65, Gabapentin, 500mg every 4-6 hours (up to 4g/day)
Benazepril,68, Captopril, 500mg every 4-6 hours (up to 4g/day)
Valproic Acid,18, Pregabalin, 10-40mg once/day
Alprazolam,24, Voglibose, 10-20mg once/day
Plendil,76, Telmisartan, 2.5-30mg once every 2-4 weeks
Baclofen,67, Nisoldipine, 0.5-2mg 2-3 times/day
Duloxetine,74, Acetylsalicylic Acid, 40-320mg once/day
Candesartan,51, Risperidone, 25-800mg once/day
Felodipine,21, Ranitidine Hydrochloride, 300-1200mg 3 times/day
Valsartan,67, Glibenclamide, 25-100mg once/day
Azithromycin,43, Glimepiride, 5-20mg once/day
Voglibose,23, Furosemide, 10-40mg once/day
Furosemide,61, Donepezil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Propranolol,48, Nifedipine, 20-80mg once/day
Aripiprazole,45, Valproic Acid, 10mg once/day
Baclofen,62, Lisinopril, 500-2000mg/day
Fluphenazine,40, Donepezil Hydrochloride, 40-320mg once/day
Fluphenazine,22, Telmisartan, 10-20mg once/day
Lisinopril,57, Valsartan, 20mg once/day
Fluphenazine,35, Telmisartan, 40-320mg 2-3 times/day
Enalapril,85, Montelukast Sodium, 25-500mg once/day
Glibenclamide,37, Ranitidine Hydrochloride, 10mg once/day
Aspirin,45, Lithium Carbonate, 5-10mg 2-3 times/day
Rosiglitazone,58, Lamotrigine, 500mg every 4-6 hours (up to 4g/day)
Isradipine,56, Acetaminophen, 10-20mg once/day
Cetirizine,44, Olanzapine, 500-2000mg/day
Enalapril,19, Amoxicillin Trihydrate, 10-30mg 2-3 times/day
Fluphenazine,56, Glimepiride, 75-300mg once/day
Ibuprofen,86, Glibenclamide, 10-30mg 2-3 times/day
Simvastatin,88, Glyburide, 500mg every 4-6 hours (up to 4g/day)
Thioridazine,59, Clopidogrel Bisulfate, 2.5-30mg once every 2-4 weeks
Nateglinide,26, Isradipine, 25-800mg once/day
Losartan,33, Irbesartan, 500-3000mg/day
Metformin,48, Ibuprofen, 10mg once/day
Pantoprazole,26, Fluoxetine Hydrochloride, 150-300mg 2-3 times/day
Thioridazine,57, Metformin Hydrochloride, 50-450mg 2-3 times/day
Chlorpromazine,42, Repaglinide, 40-320mg 2-3 times/day
Pregabalin,58, Thioridazine Hydrochloride, 10-20mg once/day
Simvastatin,57, Felodipine, 2.5-20mg once/day
Venlafaxine,56, Pregabalin, 2.5-30mg once every 2-4 weeks
Fluphenazine,17, Acarbose, 10mg once/day
Voglibose,38, Venlafaxine Hydrochloride, 600-1800mg/day
Acarbose,71, Ramipril, 5-10mg once/day
Miglitol,31, Amoxicillin Trihydrate, 150-300mg 2-3 times/day
Aripiprazole,82, Amlodipine Besylate, 10-30mg 2-3 times/day
Glyburide,61, Captopril, 5-10mg once/day
Lithium Carbonate,71, Valsartan, 5-10mg once/day
Amlodipine,87, Diltiazem Hydrochloride, 40-320mg 2-3 times/day
Nisoldipine,47, Alprazolam, 10-30mg 2-3 times/day
Glibenclamide,99, Warfarin Sodium, 1-100mg/day
Valproic Acid,46, Doxycycline Hyclate, 5-10mg once/day
Nifedipine,61, Nateglinide, 8-32mg once/day
Acarbose,66, Nateglinide, 75-150mg 2-3 times/day
Montelukast,29, Glyburide, 75-150mg 2-3 times/day
Aspirin,55, Amlodipine Besylate, 75-150mg 2-3 times/day
Ramipril,44, Pregabalin, 30-120mg 2-3 times/day
Lamotrigine,50, Pantoprazole Sodium, 40-60mg once/day
Baclofen,29, Azithromycin, 40-320mg 2-3 times/day
Metformin,56, Repaglinide, 500-2000mg/day
Lercanidipine,30, Pantoprazole Sodium, 10-40mg once/day
Chlorpromazine,70, Lercanidipine Hydrochloride, 25-500mg once/day
Plendil,80, Glimepiride, 2.5-10mg once/day
Levothyroxine,70, Gabapentin, 0.5-2mg 2-3 times/day
Valproic Acid,40, Isradipine, 4-8mg once/day
Quetiapine,55, Nateglinide, 400-600mg every 4-6 hours (up to 3.2g/day)
Ramipril,58, Ranitidine Hydrochloride, 10-80mg once/day
Glimepiride,44, Alprazolam, 10-20mg once/day
Montelukast,63, Propranolol Hydrochloride, 150-300mg once/day
Metformin,95, Cetirizine Hydrochloride, 10mg once/day
Lisinopril,60, Levothyroxine Sodium, 500mg every 4-6 hours (up to 4g/day)
Irbesartan,50, Olanzapine, 80-120mg 2-3 times/day
Levothyroxine,52, Gabapentin, 500mg every 4-6 hours (up to 4g/day)
Benazepril,88, Acetaminophen, 150-300mg once/day
Glibenclamide,76, Valproic Acid, 500-3000mg/day
Isradipine,52, Fluphenazine Decanoate, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,81, Risperidone, 2.5-20mg once/day
Chlorpromazine,71, Clopidogrel Bisulfate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Aripiprazole,61, Amlodipine Besylate, 37.5-225mg once/day
Paracetamol,89, Lisinopril, 12.5-25mg once/day
Lisinopril,35, Duloxetine Hydrochloride, 37.5-225mg once/day
Chlorpromazine,52, Ibuprofen, 10-30mg 2-3 times/day
Pregabalin,50, Simvastatin, 2-6mg once/day
Alprazolam,34, Doxycycline Hyclate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Pioglitazone,38, Acarbose, 10-80mg once/day
Azithromycin,26, Ranitidine Hydrochloride, 5-10mg once/day
Aspirin,44, Donepezil Hydrochloride, 12.5-25mg once/day
Lisinopril,34, Miglitol, 100mg every 12 hours (up to 200mg/day)
Valproic Acid,58, Voglibose, 20mg once/day
Irbesartan,71, Haloperidol, 15-45mg once/day
Donepezil,62, Olanzapine, 5-10mg once/day
Valsartan,45, Venlafaxine Hydrochloride, 12.5-25mg once/day
Amlodipine,35, Acarbose, 10mg once/day
Captopril,41, Nifedipine, 10-80mg 2-3 times/day
Aspirin,34, Lamotrigine, 0.5-4mg before each meal
Warfarin,36, Enalapril Maleate, 75-150mg 2-3 times/day
Baclofen,41, Gabapentin, 12.5-25mg once/day
Lamotrigine,67, Valsartan, 500mg every 4-6 hours (up to 4g/day)
Amoxicillin,86, Rosiglitazone Maleate, 50-450mg 2-3 times/day
Fluphenazine,55, Warfarin Sodium, 25-800mg/day
Ibuprofen,43, Lisinopril, 150-300mg 2-3 times/day
Enalapril,25, Valproic Acid, 30-120mg 2-3 times/day
Verapamil,48, Azithromycin, 0.5-4mg before each meal
Aripiprazole,67, Miglitol, 500-3000mg/day
Voglibose,78, Trazodone Hydrochloride, 10-20mg once/day
Thioridazine,63, Miglitol, 5-20mg once/day
Risperidone,61, Irbesartan, 500mg every 4-6 hours (up to 4g/day)
Aspirin,46, Miglitol, 2.5-10mg once/day
Paliperidone,66, Rosiglitazone Maleate, 500mg every 4-6 hours (up to 4g/day)
Lamotrigine,48, Diltiazem Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Amlodipine,23, Valsartan, 1-100mg/day
Thioridazine,66, Valproic Acid, 20mg once/day
Gabapentin,44, Donepezil Hydrochloride, 0.5-4mg before each meal
Doxycycline,43, Repaglinide, 2.5-20mg once/day
Aspirin,33, Glyburide, 600-1800mg/day
Captopril,45, Cetirizine Hydrochloride, 5-20mg once/day
Lisinopril,16, Valproic Acid, 10-40mg once/day
Ranitidine,31, Clopidogrel Bisulfate, 25-100mg once/day
Omeprazole,27, Propranolol Hydrochloride, 10mg once/day
Diltiazem,78, Metformin Hydrochloride, 10-40mg once/day
Lisinopril,73, Pioglitazone Hydrochloride, 10-80mg once/day
Amoxicillin,33, Lithium Carbonate, 50-450mg 2-3 times/day
Aspirin,27, Lisinopril Dihydrate, 2.5-20mg once/day
Ramipril,55, Donepezil Hydrochloride, 10-80mg 2-3 times/day
Lisinopril,31, Cetirizine Hydrochloride, 10-40mg once/day
Lisinopril,19, Acarbose, 75-300mg once/day
Ziprasidone,62, Glyburide, 20-80mg once/day
Aripiprazole,63, Donepezil Hydrochloride, 12.5-150mg 3 times/day
Nifedipine,73, Rosiglitazone Maleate, 15-45mg once/day
Ranitidine,68, Ziprasidone Hydrochloride, 0.25-2mg 2-3 times/day
Rosiglitazone,78, Glimepiride, 10-30mg 2-3 times/day
Candesartan,71, Ziprasidone Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Losartan,70, Nifedipine, 1-4mg once/day
Aspirin,59, Furosemide, 5-10mg once/day
Gabapentin,75, Donepezil Hydrochloride, 0.2-0.3g before each meal
Alprazolam,59, Ranitidine Hydrochloride, 15-45mg once/day
Simvastatin,47, Thioridazine Hydrochloride, 5-10mg once/day
Pioglitazone,53, Benazepril Hydrochloride, 10-20mg once/day
Fluoxetine,75, Ramipril, 0.2-0.3g before each meal
Gabapentin,76, Carvedilol, 8-32mg once/day
Verapamil,40, Ramipril, 2-6mg once/day
Clopidogrel,30, Lisinopril Dihydrate, 37.5-225mg once/day
Olanzapine,80, Lisinopril Dihydrate, 6.25-50mg 2-3 times/day
Donepezil,61, Venlafaxine Hydrochloride, 80-120mg 2-3 times/day
Glibenclamide,57, Glibenclamide, 10-30mg 2-3 times/day
Lisinopril,63, Hydrochlorothiazide, 0.5-4mg before each meal
Captopril,61, Donepezil Hydrochloride, 5-10mg once/day
Thioridazine,74, Fluphenazine Decanoate, 25-500mg once/day
Nateglinide,37, Lercanidipine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Lithium Carbonate,87, Azithromycin, 12.5-25mg once/day
Diltiazem,45, Alprazolam, 25-1000mg/day
Amlodipine,51, Amlodipine Besylate, 5-10mg once/day
Baclofen,49, Enalapril Maleate, 25-100mg once/day
Verapamil,103, Duloxetine Hydrochloride, 40-160mg once/day
Nisoldipine,72, Ramipril, 6.25-50mg 2-3 times/day
Propranolol,81, Ranitidine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Baclofen,67, Pantoprazole Sodium, 5-10mg once/day
Amlodipine,26, Omeprazole, 5-10mg once/day
Venlafaxine,41, Azithromycin, 20mg once/day
Nateglinide,66, Irbesartan, 10-80mg once/day
Pregabalin,19, Diltiazem Hydrochloride, 10-80mg once/day
Metoprolol,68, Fluoxetine Hydrochloride, 25-1000mg/day
Valsartan,41, Losartan Potassium, 250-500mg every 8 hours (up to 3g/day)
Risperidone,42, Pantoprazole Sodium, 500mg every 4-6 hours (up to 4g/day)
Glibenclamide,51, Amlodipine Besylate, 40-320mg 2-3 times/day
Acarbose,43, Ziprasidone Hydrochloride, 10-30mg 2-3 times/day
Enalapril,82, Captopril, 8-32mg once/day
Glyburide,69, Telmisartan, 30-120mg 2-3 times/day
Furosemide,65, Lamotrigine, 10-40mg once/day
Clonazepam,60, Ibuprofen, 500-2000mg/day
Glyburide,63, Simvastatin, 0.25-2mg 2-3 times/day
Voglibose,79, Nateglinide, 37.5-225mg once/day
Hydrochlorothiazide,74, Fluphenazine Decanoate, 500mg every 4-6 hours (up to 4g/day)
Ramipril,57, Montelukast Sodium, 40-60mg once/day
Carvedilol,38, Felodipine, 10-40mg once/day
Thioridazine,46, Valproic Acid, 6.25-50mg 2-3 times/day
Clopidogrel,58, Montelukast Sodium, 25-1000mg/day
Telmisartan,83, Miglitol, 400-600mg every 4-6 hours (up to 3.2g/day)
Benazepril,77, Lisinopril, 150-300mg 2-3 times/day
Lisinopril,65, Lisinopril Dihydrate, 2.5-20mg once/day
Metformin,51, Clonazepam, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metoprolol,64, Ibuprofen, 10-30mg 2-3 times/day
Aspirin,47, Risperidone, 0.25-2mg 2-3 times/day
Glyburide,41, Baclofen, 10-40mg once/day
Warfarin,47, Candesartan Cilexetil, 10-40mg once/day
Paliperidone,46, Glibenclamide, 10-80mg 2-3 times/day
Donepezil,54, Benazepril Hydrochloride, 5-10mg 2-3 times/day
Warfarin,53, Clonazepam, 5-10mg once/day
Candesartan,32, Omeprazole, 10-30mg 2-3 times/day
Amlodipine,66, Amlodipine Besylate, 5-20mg once/day
Atorvastatin,83, Lamotrigine, 10-80mg once/day
Metformin,33, Haloperidol, 75mg once/day
Duloxetine,60, Simvastatin, 40-60mg once/day
Thioridazine,55, Atorvastatin Calcium, 40mg once/day
Atorvastatin,48, Felodipine, 25-500mg once/day
Nateglinide,83, Acetaminophen, 500mg on day 1 followed by 250mg once/day for 4 days
Ibuprofen,41, Nifedipine, 6.25-50mg 2-3 times/day
Pioglitazone,38, Alprazolam, 0.25-2mg 2-3 times/day
Enalapril,75, Risperidone, 400-600mg every 4-6 hours (up to 3.2g/day)
Warfarin,76, Cetirizine Hydrochloride, 5-10mg 2-3 times/day
Furosemide,42, Enalapril Maleate, 2.5-10mg once/day
Baclofen,75, Montelukast Sodium, 15-45mg once/day
Glyburide,49, Nifedipine, 5-30mg once/day
Clopidogrel,81, Lisinopril Dihydrate, 10-40mg once/day
Voglibose,57, Clopidogrel Bisulfate, 25-800mg/day
Venlafaxine,85, Aripiprazole, 20-80mg once/day
Isradipine,70, Repaglinide, 8-32mg once/day
Glimepiride,93, Pantoprazole Sodium, 150-300mg once/day
Diltiazem,68, Ramipril, 500mg every 4-6 hours (up to 4g/day)
Voglibose,50, Omeprazole, 600-1800mg/day
Clopidogrel,66, Carvedilol, 1-100mg/day
Venlafaxine,29, Nifedipine, 50-450mg 2-3 times/day
Losartan,53, Donepezil Hydrochloride, 5-10mg once/day
Benazepril,53, Alprazolam, 20-80mg once/day
Verapamil,63, Clonazepam, 1-4mg once/day
Donepezil,80, Levothyroxine Sodium, 10-30mg 2-3 times/day
Voglibose,83, Nifedipine, 25-500mg once/day
Chlorpromazine,38, Valsartan, 500mg on day 1 followed by 250mg once/day for 4 days
Isradipine,70, Aripiprazole, 5-10mg once/day
Lercanidipine,76, Amoxicillin Trihydrate, 10-20mg once/day
Aspirin,77, Montelukast Sodium, 0.25-2mg 2-3 times/day
Baclofen,27, Glyburide, 500-2000mg/day
Cetirizine,33, Verapamil Hydrochloride, 10-30mg 2-3 times/day
Isradipine,54, Ziprasidone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Procardia,74, Voglibose, 75mg once/day
Voglibose,90, Quetiapine Fumarate, 0.2-0.3g before each meal
Clonazepam,77, Azithromycin, 25-500mg once/day
Metformin,76, Atorvastatin Calcium, 12.5-150mg 3 times/day
Pantoprazole,55, Irbesartan, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Repaglinide,46, Amlodipine Besylate, 0.25-2mg 2-3 times/day
Captopril,49, Telmisartan, 0.25-2mg 2-3 times/day
Quetiapine,50, Felodipine, 500mg on day 1 followed by 250mg once/day for 4 days
Furosemide,63, Losartan Potassium, 2.5-20mg once/day with meal
Venlafaxine,75, Quetiapine Fumarate, 40-320mg 2-3 times/day
Isradipine,66, Furosemide, 10mg once/day
Lercanidipine,46, Propranolol Hydrochloride, 10-30mg 2-3 times/day
Captopril,39, Voglibose, 10-80mg 2-3 times/day
Lithium Carbonate,73, Diltiazem Hydrochloride, 300-1200mg 3 times/day
Candesartan,34, Enalapril Maleate, 10-30mg 2-3 times/day
Lercanidipine,48, Lisinopril Dihydrate, 10-30mg 2-3 times/day
Azithromycin,52, Atorvastatin Calcium, 600-1800mg/day
Glyburide,64, Risperidone, 600-1800mg/day
Glimepiride,70, Candesartan Cilexetil, 12.5-25mg once/day
Irbesartan,70, Carvedilol, 25-100mg once/day
Pioglitazone,56, Cetirizine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Pioglitazone,95, Telmisartan, 2.5-30mg once every 2-4 weeks
Paracetamol,32, Thioridazine Hydrochloride, 12.5-150mg 3 times/day
Carvedilol,86, Cetirizine Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Pioglitazone,53, Rosiglitazone Maleate, 40-160mg once/day
Nateglinide,69, Fluphenazine Decanoate, 40-160mg once/day
Nateglinide,34, Carvedilol, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Glyburide,67, Ibuprofen, 2.5-20mg once/day with meal
Valsartan,45, Losartan Potassium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metformin,56, Ranitidine Hydrochloride, 10-80mg once/day
Metformin,35, Lercanidipine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,57, Cetirizine Hydrochloride, 10-40mg once/day
Haloperidol,58, Lisinopril Dihydrate, 0.25-2mg 2-3 times/day
Venlafaxine,55, Voglibose, 500mg every 4-6 hours (up to 4g/day)
Valsartan,47, Aripiprazole, 500mg every 4-6 hours (up to 4g/day)
Azithromycin,70, Repaglinide, 10-30mg 2-3 times/day
Nisoldipine,43, Miglitol, 0.25-2mg 2-3 times/day
Lisinopril,61, Ziprasidone Hydrochloride, 10-40mg once/day
Warfarin,77, Venlafaxine Hydrochloride, 40-160mg once/day
Metformin,49, Lisinopril, 15-45mg once/day
Alprazolam,47, Omeprazole, 4-8mg once/day
Ramipril,43, Voglibose, 10-30mg 2-3 times/day
Warfarin,80, Baclofen, 250-500mg every 8 hours (up to 3g/day)
Simvastatin,75, Alprazolam, 10-80mg once/day
Donepezil,69, Thioridazine Hydrochloride, 30-120mg 2-3 times/day
Aripiprazole,72, Pregabalin, 500mg every 4-6 hours (up to 4g/day)
Enalapril,40, Quetiapine Fumarate, 150-300mg once/day
Felodipine,45, Pioglitazone Hydrochloride, 2-6mg once/day
Omeprazole,58, Lercanidipine Hydrochloride, 325-650mg every 4-6 hours (up to 4g/day)
Olanzapine,41, Amoxicillin Trihydrate, 25-800mg/day
